ID;Species;Location;Date.Collected;NoIndiv;Dry.Mass.mg;Dry.Mass.mg.Average;Dry.Mass.mg.Range.;DryMass;Body.Length.mm;Body.Length.mm.Average;Body.Length.mm.Range;BodyL;Head.Width.mm;Head.Width.mm.Average;Head.Width.mm.Range;HeadW;d13C;C Amount (ug);d15N;N.Amount.ug;Issues
BU528;Buenoa;DC108_1;7/15/2015;1;0.9;NA;NA;0.9;3.531;NA;NA;3.531;NA;NA;NA;NA;-35.21;274.81;2.57;80.67;
BU153;Buenoa;DC108_1;7/15/2015;1;0.9;NA;NA;0.9;3.554;NA;NA;3.554;NA;NA;NA;NA;-36.19;405.51;2.99;118.47;
BU124;Buenoa;DC108_1;7/15/2015;1;0.9;NA;NA;0.9;3.891;NA;NA;3.891;NA;NA;NA;NA;-37.84;432.27;2.93;117.42;
BU81;Buenoa;DC108_1;7/15/2015;1;0.94;NA;NA;0.94;3.797;NA;NA;3.797;NA;NA;NA;NA;-36.56;467.33;2.77;126.23;
BU491;Buenoa;DC108_1;7/15/2015;1;0.95;NA;NA;0.95;4.365;NA;NA;4.365;NA;NA;NA;NA;-36.18;460.89;2.24;129.95;
BU125;Buenoa;DC108_1;7/15/2015;1;0.96;NA;NA;0.96;4.002;NA;NA;4.002;NA;NA;NA;NA;-37.31;429.05;2.19;117.65;
BU85;Buenoa;DC108_1;7/15/2015;1;0.96;NA;NA;0.96;4.222;NA;NA;4.222;NA;NA;NA;NA;-34.08;491.11;2.39;135.64;
BU79;Buenoa;DC108_1;7/15/2015;1;0.98;NA;NA;0.98;3.689;NA;NA;3.689;NA;NA;NA;NA;-37.58;487.87;3.41;129.76;
BU154;Buenoa;DC108_1;7/15/2015;1;1;NA;NA;1;3.725;NA;NA;3.725;NA;NA;NA;NA;-36.81;440.84;2.72;122.21;
BU94;Buenoa;DC108_1;7/15/2015;1;1;NA;NA;1;3.767;NA;NA;3.767;NA;NA;NA;NA;-37.28;511.7;2.08;137.98;
BU356;Buenoa;DC108_1;7/15/2015;1;1;NA;NA;1;3.933;NA;NA;3.933;NA;NA;NA;NA;-35.8;507.69;2.52;143;
BU113;Buenoa;DC108_1;7/15/2015;1;1;NA;NA;1;4.633;NA;NA;4.633;NA;NA;NA;NA;-35.69;446.2;2.75;125.72;
BU92;Buenoa;DC108_1;7/15/2015;1;1.01;NA;NA;1.01;4.393;NA;NA;4.393;NA;NA;NA;NA;-35.53;473.81;2.64;134.46;
BU184;Buenoa;DC108_1;7/15/2015;1;1.02;NA;NA;1.02;3.644;NA;NA;3.644;NA;NA;NA;NA;-37.06;476.28;3.38;130.39;
BU107;Buenoa;DC108_1;7/15/2015;1;1.03;NA;NA;1.03;3.83;NA;NA;3.83;NA;NA;NA;NA;-37.06;474.13;3.34;131.56;
BU525;Buenoa;DC108_1;7/15/2015;1;1.07;NA;NA;1.07;3.562;NA;NA;3.562;NA;NA;NA;NA;-36.5;527.31;2.48;146.55;
BU64;Buenoa;DC108_1;7/15/2015;1;1.07;NA;NA;1.07;3.803;NA;NA;3.803;NA;NA;NA;NA;-36.15;501.94;2.37;137.98;
BU120;Buenoa;DC108_1;7/15/2015;1;1.07;NA;NA;1.07;3.854;NA;NA;3.854;NA;NA;NA;NA;-37.5;496.72;2.72;138.55;
BU471;Buenoa;DC108_1;7/15/2015;1;1.08;NA;NA;1.08;3.828;NA;NA;3.828;NA;NA;NA;NA;-34.84;518.59;2.43;148.91;
BU272;Buenoa;DC108_1;7/15/2015;1;1.12;NA;NA;1.12;3.804;NA;NA;3.804;NA;NA;NA;NA;-36.32;526.22;2.38;143;
Bu169;Buenoa;DC108_1;7/15/2015;1;1.14;NA;NA;1.14;4.47;NA;NA;4.47;NA;NA;NA;NA;-35.12;531.23;2.27;150.17;
BU526;Buenoa;DC108_1;7/15/2015;1;1.17;NA;NA;1.17;4.317;NA;NA;4.317;NA;NA;NA;NA;-35.91;564.42;2.37;157.17;
BU381;Buenoa;DC108_1;7/15/2015;1;1.17;NA;NA;1.17;4.498;NA;NA;4.498;NA;NA;NA;NA;-36.01;566.61;3.6;157.17;
BU146;Buenoa;DC108_1;7/15/2015;1;1.19;NA;NA;1.19;4.688;NA;NA;4.688;NA;NA;NA;NA;-35.97;561.51;2.61;147.85;
Bu46;Buenoa;DC108_1;7/15/2015;1;1.21;NA;NA;1.21;4.432;NA;NA;4.432;NA;NA;NA;NA;-34.21;575.83;3.18;157.89;
BU63;Buenoa;DC108_1;7/15/2015;1;1.22;NA;NA;1.22;4.48;NA;NA;4.48;NA;NA;NA;NA;-33.85;587.83;3.12;155.55;
BU65;Buenoa;DC108_1;7/15/2015;1;1.22;NA;NA;1.22;4.765;NA;NA;4.765;NA;NA;NA;NA;-36.1;573.65;2.55;153.21;
Bu54;Buenoa;DC108_1;7/15/2015;1;1.23;NA;NA;1.23;3.342;NA;NA;3.342;NA;NA;NA;NA;-37.39;558.4;3.51;152.04;
BU173;Buenoa;DC108_1;7/15/2015;1;1.23;NA;NA;1.23;3.752;NA;NA;3.752;NA;NA;NA;NA;-37.59;587.51;3.05;154.81;
BU261;Buenoa;DC108_1;7/15/2015;1;1.23;NA;NA;1.23;4.67;NA;NA;4.67;NA;NA;NA;NA;-35.44;615.84;3.23;167.74;
Bu39;Buenoa;DC108_1;7/15/2015;1;1.23;NA;NA;1.23;4.763;NA;NA;4.763;NA;NA;NA;NA;-36.33;596.56;3.58;161.39;
BU351;Buenoa;DC108_1;7/15/2015;1;1.24;NA;NA;1.24;41.631;NA;NA;41.631;NA;NA;NA;NA;-35.95;593.95;3.24;164.22;
BU386;Buenoa;DC108_1;7/15/2015;1;1.25;NA;NA;1.25;4.599;NA;NA;4.599;NA;NA;NA;NA;-34.46;599.42;2.64;168.92;
BU187;Buenoa;DC108_1;7/15/2015;1;1.25;NA;NA;1.25;4.605;NA;NA;4.605;NA;NA;NA;NA;-37.02;561.51;3.14;154.81;
BU186;Buenoa;DC108_1;7/15/2015;1;1.27;NA;NA;1.27;4.577;NA;NA;4.577;NA;NA;NA;NA;-37.23;598.36;2.19;167.54;
BU84;Buenoa;DC108_1;7/15/2015;1;1.28;NA;NA;1.28;3.424;NA;NA;3.424;NA;NA;NA;NA;-37.91;574.74;3.02;159.05;
BU145-BU149;Buenoa;DC108_1;7/15/2015;2;2.09,0.49;1.29;1.6;1.29;4.713,2.999;3.856;1.714;3.856;NA;NA;NA;NA;-35.14;230.32;3.02;60.01;
Bu31;Buenoa;DC108_1;7/15/2015;1;1.3;NA;NA;1.3;4.327;NA;NA;4.327;NA;NA;NA;NA;-37.95;617.32;2.98;169.55;
BU172;Buenoa;DC108_1;7/15/2015;1;1.3;NA;NA;1.3;4.642;NA;NA;4.642;NA;NA;NA;NA;-32.58;632.06;3.35;175.63;
BU167;Buenoa;DC108_1;7/15/2015;1;1.31;NA;NA;1.31;4.294;NA;NA;4.294;NA;NA;NA;NA;-35.76;623.36;3.79;172.16;
BU119;Buenoa;DC108_1;7/15/2015;1;1.31;0.236666667;0.22;1.31;4.588;NA;NA;4.588;NA;NA;NA;NA;-34.39;615.74;2.22;171.01;
BU353;Buenoa;DC108_1;7/15/2015;1;1.31;NA;NA;1.31;4.677;NA;NA;4.677;NA;NA;NA;NA;-33.75;625.71;3.04;172.43;
